month,subject,date,ni_file,n_ref_onsets,n_target_onsets,n_matched_onsets,mean_diff,std_diff,mean_abs_diff,median_diff,median_abs_diff,min_diff,max_diff,name,Q1,Q2,datetime
5月,3,20250523,9_20250523_105259_ni.txt,153.0,287.0,287.0,0.0180017421602788,0.1120161789759211,0.0944094076655054,0.0138999999999995,0.0914999999999963,-0.2057000000000002,0.2072000000000002,kitayama_0523,76.0,77.0,2025-05-23 10:53:11
5月,3,20250523,10_20250523_105525_ni.txt,153.0,252.0,252.0,0.0343952380952384,0.0966262328056578,0.0839904761904763,0.0340999999999951,0.0723499999999983,-0.2052000000000013,0.2027000000000001,kitayama_0523,83.0,83.0,2025-05-23 10:55:49
5月,3,20250523,11_20250523_105730_ni.txt,127.0,278.0,278.0,0.0596856115107906,0.2249416770328531,0.1165158273381295,0.037599999999994,0.0757999999999938,-0.3675999999999995,1.9061999999999983,kitayama_0523,93.0,91.0,2025-05-23 10:57:45
5月,3,20250528,1_20250528_100902_ni.txt,127.0,316.0,316.0,0.0300794303797473,0.2087718291193833,0.1287977848101266,0.0199499999999996,0.1127499999999983,-0.441399999999998,1.8478000000000063,kitayama_0528,33.0,33.0,2025-05-28 10:09:07
5月,3,20250528,2_20250528_101038_ni.txt,153.0,301.0,301.0,0.0145691029900329,0.108934975616119,0.0932621262458473,0.028100000000002,0.0818000000000012,-0.2004999999999981,0.2484999999999928,kitayama_0528,63.0,63.0,2025-05-28 10:10:50
5月,3,20250528,3_20250528_101605_ni.txt,153.0,296.0,296.0,0.0159851351351351,0.1063187541393263,0.0891195945945948,0.0172500000000042,0.0822500000000054,-0.2069999999999936,0.2063000000000059,kitayama_0528,71.0,72.0,2025-05-28 10:16:14
5月,3,20250528,4_20250528_102111_ni.txt,153.0,308.0,308.0,0.0140720779220781,0.1063466568734052,0.0867487012987012,0.0199499999999943,0.0712999999999972,-0.2059999999999995,0.4752000000000009,kitayama_0528,76.0,77.0,2025-05-28 10:21:14
5月,3,20250528,5_20250528_102622_ni.txt,153.0,308.0,308.0,-0.0005266233766231,0.1098068126728833,0.0916636363636365,-0.000399999999999,0.0887000000000028,-0.2038999999999973,0.204900000000002,kitayama_0528,87.0,85.0,2025-05-28 10:26:31
5月,3,20250528,6_20250528_103142_ni.txt,153.0,300.0,300.0,0.0150543333333334,0.1038246573855275,0.0878423333333333,0.0180000000000006,0.0782000000000024,-0.2025000000000005,0.2014999999999958,kitayama_0528,78.0,79.0,2025-05-28 10:31:38
5月,3,20250528,7_20250528_104352_ni.txt,153.0,301.0,301.0,0.0141906976744182,0.1056545708997247,0.0891853820598005,0.0134000000000007,0.0866000000000042,-0.2070000000000007,0.2445000000000021,kitayama_0528,36.0,35.0,2025-05-28 10:43:58
5月,3,20250528,8_20250528_104906_ni.txt,153.0,299.0,299.0,0.0174110367892976,0.104134714550482,0.0897989966555182,0.0241000000000042,0.0818000000000012,-0.2094000000000022,0.2017000000000024,kitayama_0528,76.0,77.0,2025-05-28 10:49:16
5月,3,20250528,9_20250528_105424_ni.txt,153.0,302.0,302.0,0.0125894039735096,0.1076206248557716,0.0902317880794701,0.0123000000000033,0.0869999999999997,-0.2041000000000039,0.2066999999999978,kitayama_0528,87.0,85.0,2025-05-28 10:54:34
5月,3,20250528,10_20250528_105903_ni.txt,153.0,308.0,308.0,0.0237204545454548,0.1075855965643407,0.0922217532467532,0.0235999999999982,0.0848000000000013,-0.1996000000000037,0.2094999999999984,kitayama_0528,88.0,88.0,2025-05-28 10:59:10
5月,3,20250528,11_20250528_110101_ni.txt,153.0,299.0,299.0,0.0059799331103676,0.1097745744209157,0.0924220735785954,0.0061999999999997,0.0873999999999952,-0.2022999999999939,0.2017000000000024,kitayama_0528,84.0,84.0,2025-05-28 11:01:10
